"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,16,-2.07734673423833,-2.17962464515906,1.16391497173526,2.08655037946548,1.03192288951614,1.03779486982023,0.859815945694712,22,-2.85480284335317,-3.02975964944447,0.482166487801081,0.590708931806002,-0.00684930535878436,0.0138944693610724,0.940865731908368,2,-3.34850095221576,-3.34850095221576,0.112532381578294,0.159144820234168,0.0631416799318985,0.0552960816067872,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.96700105276308,8.96700105276308,0.0274860264321166,0,0.00286400834482903,0.00647851855934078,1.83844376151159,NA,NA,NA,NA,NA,NA,NA,NA,13,8.84042932291899,8.81613737204066,2.19846317746979,3.04184230460178,1.25368223847104,2.08731312742784,15.3356085945409,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,72,0.264584813651957,0.310180941175853,0.593310928452599,0.703104865468253,0.312367526702509,0.32824804455628,0.717434059891622,13,0.577008429718834,0.202516983668928,1.04587556195306,1.32478725689113,0.305440894027985,0.34169394544483,1.17418604504592,28,0.497475722097022,0.12467187572063,1.48670531559429,1.26002996582147,-0.228950918367443,-0.263569837704581,2.42159560641394,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-4.81803555218729,-4.76678013887395,0.712721791045453,0.739988143251418,0.104340455497188,0.106646104460799,1.28773906760471,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,0,35,0.387755965533276,0.159512052787544,1.10325243484924,1.56443977795966,-0.0725651256735714,-0.111668476742723,1.65847149462526,43,-0.136978782320553,-0.428345159362157,1.13614629569034,1.22545224689849,0.963052060524122,1.16282348480925,1.62492995647267,67,0.290491278656746,0.06635343329974,1.41024078631227,1.59406101444814,-0.283053437832943,-0.136801886910518,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,62,-1.67751292788539,-1.79552520352501,0.926855890448231,1.51956002935176,0.0930075631213355,-0.22780091808464,1.80167844117168,32,-1.69550125548458,-1.87031659105102,0.865147525567611,1.10234525344904,0.0221523365048948,0.124266230427212,1.52344157038101,74,-2.04403031010505,-2.21545450010811,0.794463285997031,0.998715255746555,0.182139866651103,0.624993822243086,1.24392999113037,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,4,33,-7.33098616476928,-7.42054977456713,0.560702653819012,0.925587518797528,0.583059196765883,1.82217163772113,0.849914217191592,2,-6.39047901284465,-6.39047901284465,1.3162980922919,1.86152661424503,0.0589147974657236,0.0715971774709627,1.11586782884686,37,-7.51686382885097,-7.63674802651746,0.515281746674771,0.689440364401353,0.00278848076611701,0.831329439043444,0.609444827180851,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,87,-4.27275807266402,-4.4786701879283,0.887318825773018,1.33740162943501,-0.0180517425753249,-0.0267914656208503,1,27,-4.55160107008665,-4.89751064515516,1.02936580958029,0.846051002700722,-0.102735741559925,-0.14630190786266,0.552448587728049,19,-4.86084854254194,-4.69104439590735,0.791360100490859,1.32329900732666,0.106533019816787,-0.0763291895134006,1.52878886840907,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-0.778749194840265,-0.776718803463783,0.0544345257137854,0,-0.0147013572130588,0.0141593578473876,0.256484871585279,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,4,25,-2.18141259663488,-1.87276713854848,1.97775572902872,2.93705431443709,-0.660143216148237,-0.789080909934116,1.02923511828292,7,-3.05927038357974,-3.14474119252866,0.860206016024617,0.972924853460837,-0.011695097772247,0.0333155050793497,0.649099508813632,13,-3.65898274527578,-3.84294109327749,0.662959510940446,0.59910554974506,0.294089016333161,-0.0326636677262626,1.23337739792925,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,1,17,-0.844561147401854,-1.31810500503964,1.73839551050731,3.45865742410561,-0.0895232461938313,-0.476701090585565,2.4418119334344,NA,NA,NA,NA,NA,NA,NA,NA,30,-1.89108512184225,-2.16666404998719,0.898015593513173,0.87494547402901,0.530492298662514,0.494818578642996,2.25960917091201,"2009","East Asia and Pacific","Philippines","Lower middle income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,0,5,-2.64066905563244,-2.62515238862554,0.844604375214499,0.925810570025064,-0.279389786855607,-0.405865713375818,0.802989014494908,NA,NA,NA,NA,NA,NA,NA,NA,15,-3.27592403501468,-3.44169123656,0.73091125173249,1.10756395350076,0.148326695508684,0.296142794717034,0.968067572497859,"2011","South Asia","Sri Lanka","Lower middle income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,-0.435510099419623,-0.435510099419623,0.0706761891989323,0.099951225301977,-0.0289332494295197,-0.0289332494295197,0.633333333333333,16,1.02643628647821,1.29127828327511,1.34601774281558,2.03508067086219,0.346995690427164,0.304252237157258,4.98686078696704,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Ukraine","Ukraine2013",NA,NA,NA,NA,NA,NA,NA,NA,4,18,-0.69047582796313,-1.02852592085179,0.649113172490074,0.807815527166062,-0.213013266198056,-0.167945651317902,0.483699056996212,3,-0.779208929042212,-0.799219356754451,0.173885109588634,0.336265417320194,0.154295516487128,0.145753327948998,1.63781491334656,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,1,56,-7.06804015473423,-7.01655917571,0.92599528711416,1.42807175594954,-0.117689685613595,0.090991812226607,0.528403025894841,8,-8.0185093082502,-8.07228558205778,0.654785873609347,0.493795534375938,0.155898873126965,0.101396778116372,3.68467378892067,23,-7.7878595965494,-7.88152880414986,0.68466934245096,0.692986156095145,0.277291317573251,0.220028180073891,8.66132392614369,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,0.565979729434147,0.671143618099675,0.799223349684214,1.11604791188217,-0.175578701641039,-0.166483372436071,0.965448109134099,2,1.68153226549877,1.68153226549877,3.00967950707024,4.2563295772951,0.491114951226358,0.491114951226358,1.3,6,0.243278310600978,0.159049108827673,0.572971547494369,0.644907969243182,-0.12821452733508,-0.533483977932897,0.603082811761775,"2013",NA,NA,NA
"Yemen","Yemen2013",NA,NA,NA,NA,NA,NA,NA,NA,2,4,-3.25948603189641,-3.08507163204046,1.12455829358954,1.99718669541699,0.207862059270131,0.206703374860238,1.72362809139475,2,-3.30761676124687,-3.30761676124687,0.561990890108955,0.794775138722212,0.175395702399808,0.250981622754383,3.34995421554288,10,-1.95001323084597,-2.2397639775642,0.704930503562299,0.896642261425606,-0.0982983431260032,-0.114261047827861,0.857995803281762,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
